pdb_id,resolution,year,pKd,binding_raw
4x3r,1.86,2015,11.065501548756432,Ki=8.6pM
3k8o,2.4,2010,11.065501548756432,Kd=8.6pM
1eix,2.5,2000,11.05551732784983,Ki=8.8pM
1lor,1.6,2002,11.05551732784983,Ki=8.8pM
1x1z,1.45,2005,11.05551732784983,Ki=8.8pM
4i8z,1.75,2013,11.050609993355087,Ki=8.9pM
1dqx,2.4,2000,11.045757490560675,Ki=9pM
5dgw,1.62,2015,11.045757490560675,Ki=0.009nM
5bs4,1.29,2015,11.00436480540245,Kd=0.0099nM
4ase,1.83,2012,11.0,Ki=0.01nM
6oxp,1.97,2019,11.0,Ki=0.010nM
5bve,2.0,2015,11.0,IC50=0.010nM
4kb9,1.29,2013,11.0,Ki=0.01nM
3lzs,1.95,2010,10.962573502059376,Kd=0.0109nM
5nn0,2.1,2018,10.958607314841775,Kd=11pM
1m7y,1.6,2002,10.958607314841775,Kd=0.011nM
5drq,1.63,2016,10.920818753952375,Ki=12pM
6cdl,1.25,2018,10.920818753952375,Ki=0.012nM
3utu,1.55,2012,10.920818753952375,Ki=0.012nM
4i8w,1.96,2013,10.896196279044043,Ki=12.7pM
6dh2,1.98,2018,10.892790030352131,Ki=12.8pM
2pk6,1.45,2007,10.886056647693163,Kd=13pM
3i7e,1.7,2009,10.853871964321762,Ki=14pM
2qi5,1.85,2008,10.853871964321762,Ki=0.014nM
5ult,1.53,2017,10.853871964321762,Ki=0.014nM
6h5x,1.8,2018,10.823908740944319,Ki=0.015nM
3o99,1.95,2011,10.823908740944319,Ki=15pM
4amy,2.0,2012,10.823908740944319,Ki=0.015nM
5wlo,1.27,2017,10.823908740944319,Ki=0.015nM
6u7o,1.33,2019,10.809668301829708,Ki=15.5pM
1c4v,2.1,2000,10.795880017344075,Ki=0.016nM
4hla,1.95,2013,10.795880017344075,Ki=16pM
5c1m,2.1,2015,10.795880017344075,Ki=16pM
6h5w,1.37,2018,10.795880017344075,Ki=0.016nM
3gi4,1.85,2010,10.795880017344075,Ki=16pM
4omc,2.3,2014,10.777283528852417,Ki=16.7pM
4gid,2.0,2012,10.769551078621726,Ki=0.017nM
6o0k,1.62,2019,10.744727494896694,Ki=0.018nM
4yho,1.82,2016,10.744727494896694,Kd=18pM
5tys,2.01,2017,10.721246399047171,IC50=0.019nM
2o4p,1.8,2006,10.721246399047171,Kd=19pM
3o9d,1.85,2011,10.721246399047171,Ki=19pM
6dif,1.2,2018,10.721246399047171,Ki=0.019nM
5alb,2.16,2015,10.707743928643524,Kd=19.6pM
3o9a,1.9,2011,10.698970004336019,Ki=20pM
2wva,2.2,2010,10.698970004336019,Kd=20pM
5wb6,2.35,2017,10.698970004336019,Ki=0.02nM
4an0,2.2,2012,10.698970004336019,Ki=0.02nM
4agc,2.0,2012,10.698970004336019,Ki=0.020nM
2xeg,1.59,2010,10.698970004336019,Ki=0.020nM
3myg,2.4,2010,10.698970004336019,Kd=0.02nM
6oxv,1.99,2019,10.698970004336019,Ki=0.020nM
5nee,1.7,2017,10.698970004336019,Ki=0.02nM
2pk5,1.9,2007,10.698970004336019,Kd=20pM
3cs7,2.2,2008,10.67778070526608,Ki=21pM
1xon,1.72,2004,10.67778070526608,IC50=0.021nM
6eqw,1.99,2018,10.649751981665837,Ki=22.4pM
2xei,1.69,2010,10.619788758288394,Ki=0.024nM
4lch,1.6,2013,10.619788758288394,Ki=24pM
2j4a,2.2,2007,10.602059991327963,IC50=0.025nM
5uov,1.33,2017,10.602059991327963,Ki=0.025nM
2zx6,2.42,2009,10.600326278518962,Ki=25.1pM
6dh0,1.9,2018,10.59176003468815,Ki=25.6pM
3ekt,1.97,2009,10.585026652029182,Kd=26pM
3djk,1.0,2008,10.585026652029182,Ki=26pM
3lzv,2.15,2010,10.585026652029182,Kd=0.026nM
5dro,2.01,2016,10.585026652029182,Ki=26pM
6dyv,1.62,2019,10.585026652029182,Kd=0.026nM
6dh1,1.97,2018,10.58335949266172,Ki=26.1pM
2qi6,1.85,2008,10.568636235841012,Ki=0.027nM
1oxg,2.2,2004,10.568636235841012,Ki=0.027nM
4xtx,2.3,2015,10.568636235841012,Kd=0.027nM
6b4n,1.3,2017,10.554395796726402,Ki=27.9pM
6dyy,1.61,2019,10.55284196865778,Kd=0.028nM
6oxw,1.98,2019,10.55284196865778,Ki=0.028nM
1g2o,1.75,2001,10.55284196865778,Ki=28pM
4djp,1.4,2012,10.55284196865778,Ki=0.028nM
3vrv,1.9,2012,10.537602002101044,IC50=0.029nM
5myo,1.59,2017,10.53313237964589,Kd=29.3pM
4yo8,2.1,2015,10.522878745280337,Ki=0.030nM
1if7,1.98,2001,10.522878745280337,Kd=30pM
6no9,1.71,2019,10.522878745280337,Ki=0.03nM
1xn2,1.9,2005,10.522878745280337,Ki=0.03nM
2ycf,1.77,2011,10.522878745280337,IC50=0.03nM
1n46,2.2,2003,10.522878745280337,Ki=0.03nM
2fzz,2.2,2006,10.522878745280337,Ki=0.03nM
6ne5,1.85,2019,10.522878745280337,Ki=0.03nM
2f81,1.25,2006,10.522878745280337,Ki=0.03nM
6dj1,1.26,2018,10.508638306165727,Ki=0.031nM
2o4s,1.54,2006,10.508638306165727,Kd=31pM
2zx7,2.48,2009,10.492144128304169,Ki=32.2pM
5ehq,2.5,2016,10.481486060122112,Ki=33pM
1msm,2.0,2003,10.481486060122112,Kd=33pM
6eqx,1.99,2018,10.47237009912866,Ki=33.7pM
5dia,1.96,2015,10.455931955649724,Ki=0.035nM
2o4k,1.6,2006,10.455931955649724,Kd=35pM
4ffs,1.9,2012,10.443697499232712,Kd=36pM
2qi4,1.8,2008,10.443697499232712,Ki=0.036nM
6dyw,1.45,2019,10.443697499232712,Kd=0.036nM
1eb1,1.8,2002,10.431798275933005,Ki=37pM
5ohj,1.6,2017,10.422508200162774,IC50=0.0378nM
4oar,2.41,2014,10.42021640338319,IC50=38pM
6alz,2.21,2017,10.42021640338319,IC50=38pM
4wt2,1.42,2014,10.42021640338319,Kd=38pM
5d3c,1.31,2016,10.397940008672037,Kd=40pM
6oqc,1.8,2019,10.397940008672037,Ki=0.04nM
5qin,1.57,2018,10.397940008672037,IC50=0.04nM
4y8z,2.2,2015,10.397940008672037,Ki=0.04nM
1kzk,1.09,2002,10.387216143280265,Ki=41pM
1xm4,2.31,2004,10.387216143280265,IC50=0.041nM
1c4u,2.1,2000,10.366531544420413,Ki=0.043nM
5l7k,2.1,2016,10.366531544420413,Kd=0.043nM
4ynb,2.0,2015,10.366531544420413,Ki=0.043nM
4lvt,2.05,2013,10.356547323513812,Ki=44pM
4ngm,1.84,2014,10.347753658996677,Ki=0.0449nM
3i6o,1.17,2009,10.346787486224656,Ki=45pM
4q1y,1.5,2015,10.346787486224656,Ki=45pM
1nq0,2.4,2003,10.318758762624412,IC50=0.048nM
6oxr,2.04,2019,10.318758762624412,Ki=0.048nM
4djq,1.4,2012,10.318758762624412,Ki=0.048nM
5h8g,2.0,2016,10.316952961761151,Kd=48.2pM
5nea,1.3,2017,10.301029995663981,Ki=0.05nM
4e3n,1.49,2012,10.301029995663981,Ki=0.05nM
2p15,1.94,2007,10.301029995663981,Kd=50pM
3tki,1.6,2012,10.301029995663981,IC50=0.05nM
6oqb,1.6,2019,10.301029995663981,Ki=0.05nM
1c70,2.5,2000,10.301029995663981,Ki=0.05nM
6slg,1.33,2019,10.301029995663981,Kd=0.05nM
6mt0,2.2,2019,10.301029995663981,IC50=0.05nM
6udv,1.35,2019,10.292429823902063,Ki=0.051nM
6d3x,1.8,2019,10.292429823902063,Ki=0.051nM
6hlb,2.0,2019,10.269217724333611,Ki=0.0538nM
6dyu,1.6,2019,10.259637310505756,Kd=0.055nM
4an1,1.9,2012,10.259637310505756,Ki=0.055nM
1rr6,2.5,2005,10.2518119729938,Kd=56pM
1rt9,2.3,2005,10.2518119729938,Ki=56pM
6oy1,2.0,2019,10.244125144327509,Ki=0.057nM
5b25,1.9,2016,10.236572006437063,Ki=0.058nM
3t3c,2.1,2012,10.229147988357855,Ki=59pM
5l2z,1.79,2016,10.221848749616356,Ki=0.06nM
